RecipeName,ServingSize,GramsPerServing
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Coke Zero 24/12oz,Each,3430.2895
Coke Zero 24/12oz,Each,3430.2895
Coke Zero 24/12oz,Each,3430.2895
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
