RecipeName,ServingSize,GramsPerServing
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
Sweet Thai Chili Chicken Bites,4 Bites w/ 1oz sauce,9100.1969
