sales_item,mapped_items,Calories,Protein,Total Sugars
CENTER LUNCH - PUREED,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
PREK FAMILY EVENT ADULT LUNCH,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
PREK FAMILY EVENT ALC,"Broccoli Alfredo Penne - ALC, Broccoli Alfredo Penne - ALC, Broccoli Alfredo Penne - ALC",,,
THANKSGIVING LUNCH SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
CENTER BREAKFAST PUREED,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",80.0,0.0,21.0
No Charge A La Carte Promotion,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",150.0,5.0,2.0
KINDERGARTEN PIN USE TRAINING,"DO NOT USE Peppers, red, pre-sliced, DO NOT USE Peppers, red, pre-sliced, DO NOT USE - Peppers, green, pre-sliced",12.0,1.0,1.0
THANKSGIVING ADULT LUNCH SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
HAMBURGER SECONDARY,"Hamburger, Hamburger, Hamburger",300.0,18.0,3.0
THANKSGIVING ADULT LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
PBJ MEAL SECONDARY,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub)",3.0,,0.0
ELEMENTARY,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",150.0,5.0,2.0
CHEESE STIX -1 ELEMENTARY,"Cheese Sticks, Baked (Warehouse - effective 9/1), Cheese Sticks, Baked (Warehouse - effective 9/1), Cheese Sticks, Baked (Warehouse - effective 9/1)",300.0,16.0,4.0
"$1.25 CHIPS 1,011","Doritos Wild White Nacho Flavored Tortilla Chips, RF Kettle Chips Sea Salt & Vinegar Chips, Doritos Wild White Nacho Flavored Tortilla Chips",130.0,2.0,0.0
