date,school_name,time_of_day,time_slot_id
03/03/2025,EDISON_HIGH,lunch,89
03/03/2025,FAIRFAX_HIGH,breakfast,90
03/03/2025,FAIRFAX_HIGH,lunch,91
03/03/2025,FAIRFAX_VILLA_ELEMENTARY,breakfast,92
03/03/2025,FAIRFAX_VILLA_ELEMENTARY,lunch,93
03/03/2025,FAIRHILL_ELEMENTARY,breakfast,94
03/03/2025,FAIRHILL_ELEMENTARY,lunch,95
03/03/2025,FAIRVIEW_ELEMENTARY,breakfast,96
03/03/2025,FAIRVIEW_ELEMENTARY,lunch,97
03/03/2025,FALLS_CHURCH_HIGH,breakfast,98
03/03/2025,FALLS_CHURCH_HIGH,lunch,99
03/03/2025,FLINT_HILL_ELEMENTARY,breakfast,100
03/03/2025,FLINT_HILL_ELEMENTARY,lunch,101
03/03/2025,FLORIS_ELEMENTARY,breakfast,102
03/03/2025,FLORIS_ELEMENTARY,lunch,103
03/03/2025,FORESTDALE_ELEMENTARY,breakfast,104
03/03/2025,FORESTDALE_ELEMENTARY,lunch,105
03/03/2025,FORESTVILLE_ELEMENTARY,breakfast,106
03/03/2025,FORESTVILLE_ELEMENTARY,lunch,107
03/03/2025,FOREST_EDGE_ELEMENTARY,breakfast,108
03/03/2025,FOREST_EDGE_ELEMENTARY,lunch,109
03/03/2025,FORT_BELVOIR_PRIMARY_ELEM,breakfast,110
03/03/2025,FORT_BELVOIR_PRIMARY_ELEM,lunch,111
03/03/2025,FORT_BELVOIR_UPPER_ELEMENTARY,breakfast,112
03/03/2025,FORT_BELVOIR_UPPER_ELEMENTARY,lunch,113
03/03/2025,FORT_HUNT_ELEMENTARY,breakfast,114
03/03/2025,FORT_HUNT_ELEMENTARY,lunch,115
03/03/2025,FOX_MILL_ELEMENTARY,breakfast,116
03/03/2025,FOX_MILL_ELEMENTARY,lunch,117
03/03/2025,FRANCONIA_ELEMENTARY,breakfast,118
03/03/2025,FRANCONIA_ELEMENTARY,lunch,119
03/03/2025,FRANKLIN_MIDDLE,breakfast,120
03/03/2025,FRANKLIN_MIDDLE,lunch,121
03/03/2025,FRANKLIN_SHERMAN_ELEMENTARY,breakfast,122
03/03/2025,FRANKLIN_SHERMAN_ELEMENTARY,lunch,123
03/03/2025,FREEDOM_HILL_ELEMENTARY,breakfast,124
03/03/2025,FREEDOM_HILL_ELEMENTARY,lunch,125
03/03/2025,FROST_MIDDLE,breakfast,126
03/03/2025,FROST_MIDDLE,lunch,127
03/03/2025,GARFIELD_ELEMENTARY,breakfast,128
03/03/2025,GARFIELD_ELEMENTARY,lunch,129
03/03/2025,GLASGOW_MIDDLE,breakfast,130
03/03/2025,GLASGOW_MIDDLE,lunch,131
03/03/2025,GLEN_FOREST_ELEMENTARY,breakfast,132
03/03/2025,GLEN_FOREST_ELEMENTARY,lunch,133
03/03/2025,GRAHAM_ROAD_ELEMENTARY,breakfast,134
03/03/2025,GRAHAM_ROAD_ELEMENTARY,lunch,135
03/03/2025,GREAT_FALLS_ELEMENTARY,breakfast,136
03/03/2025,GREAT_FALLS_ELEMENTARY,lunch,137
03/03/2025,GREENBRIAR_EAST_ELEMENTARY,breakfast,138
03/03/2025,GREENBRIAR_EAST_ELEMENTARY,lunch,139
03/03/2025,GREENBRIAR_WEST_ELEMENTARY,breakfast,140
03/03/2025,GREENBRIAR_WEST_ELEMENTARY,lunch,141
03/03/2025,GROVETON_ELEMENTARY,breakfast,142
03/03/2025,GROVETON_ELEMENTARY,lunch,143
03/03/2025,GUNSTON_ELEMENTARY,breakfast,144
03/03/2025,GUNSTON_ELEMENTARY,lunch,145
03/03/2025,HALLEY_ELEMENTARY,breakfast,146
03/03/2025,HALLEY_ELEMENTARY,lunch,147
03/03/2025,HAYCOCK_ELEMENTARY,breakfast,148
03/03/2025,HAYCOCK_ELEMENTARY,lunch,149
03/03/2025,HAYFIELD_ELEMENTARY,breakfast,150
03/03/2025,HAYFIELD_ELEMENTARY,lunch,151
03/03/2025,HAYFIELD_SECONDARY,breakfast,152
03/03/2025,HAYFIELD_SECONDARY,lunch,153
03/03/2025,HERNDON_ELEMENTARY,breakfast,154
03/03/2025,HERNDON_ELEMENTARY,lunch,155
03/03/2025,HERNDON_HIGH,breakfast,156
03/03/2025,HERNDON_HIGH,lunch,157
03/03/2025,HERNDON_MIDDLE,breakfast,158
